448	./Applications/Visual Studio Code.app/Contents
448	./Applications/Visual Studio Code.app
421	./System/Volumes/Data/Applications/Pages.app
421	./Applications/Pages.app/Contents
421	./Applications/Pages.app
408	./Applications/Microsoft Excel.app/Contents/SharedSupport
405	./Users/tianhan/Google Drive/CUBoulder/courses
396	./private/var/db/uuidtext/dsc
392	./Library/Application Support/GarageBand/Instrument Library/Sampler
392	./Library/Application Support/GarageBand/Instrument Library
388	./Users/tianhan/Google Drive/Backup/mac
385	./System/Volumes/Data/Applications/Numbers.app
385	./Applications/Numbers.app/Contents
385	./Applications/Numbers.app
381	./System/Volumes/Data/Library/Caches
381	./Library/Caches
377	./Library/Caches/com.apple.iconservices.store
375	./private/var/db/diagnostics/Special
373	./Users/tianhan/.vscode/extensions
373	./Users/tianhan/.vscode
368	./Applications/Docker.app/Contents/MacOS
362	./System/Library/Templates/Data/System
358	./System/Volumes/Data/Applications/Firefox.app
358	./Applications/Firefox.app/Contents
358	./Applications/Firefox.app
352	./usr/local/texlive/2021/bin
352	./Library/Application Support/Logic/EXS Factory Samples/Drum Kit Designer Consolidated
349	./Users/tianhan/Library/Application Support/Code
340	./Applications/Microsoft PowerPoint.app/Contents/SharedSupport
332	./System/Library/CoreServices/CoreTypes.bundle/Contents
332	./System/Library/CoreServices/CoreTypes.bundle
329	./Applications/Visual Studio Code.app/Contents/Frameworks
325	./Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework
320	./Library/Developer/CommandLineTools/usr/bin
306	./System/Library/SpeechBase/Voices/AlexCompact.SpeechVoice
306	./Library/Developer/CommandLineTools/SDKs/MacOSX11.3.sdk
302	./Users/tianhan/Google Drive/CUBoulder/job
298	./Library/Developer/CommandLineTools/SDKs/MacOSX11.1.sdk
295	./Applications/Keynote.app/Contents/Resources
285	./Users/tianhan/Google Drive/tianhans-papers-repo/benchmarks
284	./Applications/Pages.app/Contents/Resources
283	./Applications/Firefox.app/Contents/MacOS
279	./Applications/Numbers.app/Contents/Resources
269	./System/Volumes/Data/Applications/Spotify.app
269	./Applications/Spotify.app/Contents
269	./Applications/Spotify.app
261	./Users/tianhan/dwhelper
257	./Applications/Docker.app/Contents/Resources/bin
254	./System/Library/Frameworks/Vision.framework/Versions
254	./System/Library/Frameworks/Vision.framework
